! d1b Date 17-Nov-11 Time 14:07:33 Run 130589 > 130592
! orf   brah  La2CoMnO6_300K  
!
! Created: Thu Nov 17 15:41:15 2011
! fullprof : INSTR=10
! Wave lenght 
! 2.520
! Monitor/counts   Counting time/sec 
!        5387923.   3600000.0
! Temperature: Sample, Regulation, Requested 
!            298.931     300.008     300.000
!  angle  counts   sigma (F9.3,F15.3,F9.2)
   48.790      10828.000       104.0577
   48.890      11209.000       105.8726
   48.990      11031.000       105.0286
   49.090      11036.000       105.0524
   49.190      11008.000       104.9190
   49.290      11000.000       104.8809
   49.390      11033.000       105.0381
   49.490      10878.000       104.2977
   49.590      11017.000       104.9619
   49.690      10918.000       104.4892
   49.790      11029.000       105.0190
   49.890      11189.000       105.7781
   49.990      11247.000       106.0519
   50.090      11038.000       105.0619
   50.190      10989.000       104.8284
   50.290      10860.000       104.2113
   50.390      11149.000       105.5888
   50.490      11081.000       105.2663
   50.590      11026.000       105.0048
   50.690      10842.000       104.1249
   50.790      10994.000       104.8523
   50.890      10884.000       104.3264
   50.990      11184.000       105.7544
   51.090      11159.000       105.6362
   51.190      11023.000       104.9905
   51.290      11112.000       105.4135
   51.390      10970.000       104.7378
   51.490      11068.000       105.2046
   51.590      10974.000       104.7569
   51.690      11116.000       105.4324
   51.790      11117.000       105.4372
   51.890      11029.000       105.0190
   51.990      10974.000       104.7569
   52.090      11010.000       104.9286
   52.190      10982.000       104.7950
   52.290      10917.000       104.4845
   52.390      11063.000       105.1808
   52.490      10935.000       104.5705
   52.590      10960.000       104.6900
   52.690      10906.000       104.4318
   52.790      11013.000       104.9428
   52.890      11043.000       105.0857
   52.990      10821.000       104.0240
   53.090      11112.000       105.4135
   53.190      11214.000       105.8962
   53.290      11320.000       106.3955
   53.390      11025.000       105.0000
   53.490      11214.000       105.8962
   53.590      11004.000       104.9000
   53.690      11104.000       105.3755
   53.790      10949.000       104.6375
   53.890      11014.000       104.9476
   53.990      11173.000       105.7024
   54.090      11252.000       106.0754
   54.190      11224.000       105.9434
   54.290      11888.000       109.0321
   54.390      12514.000       111.8660
   54.490      12916.000       113.6486
   54.590      13576.000       116.5161
   54.690      13851.000       117.6903
   54.790      13553.000       116.4174
   54.890      13352.000       115.5509
   54.990      12629.000       112.3788
   55.090      11965.000       109.3846
   55.190      11700.000       108.1665
   55.290      11323.000       106.4096
   55.390      11283.000       106.2215
   55.490      11232.000       105.9811
   55.590      11328.000       106.4331
   55.690      11195.000       105.8064
   55.790      11067.000       105.1998
   55.890      11059.000       105.1618
   55.990      11233.000       105.9858
   56.090      11312.000       106.3579
   56.190      11192.000       105.7923
   56.290      11106.000       105.3850
   56.390      11292.000       106.2638
   56.490      11129.000       105.4941
   56.590      10976.000       104.7664
   56.690      11040.000       105.0714
   56.790      11098.000       105.3470
   56.890      11164.000       105.6598
   56.990      11199.000       105.8253
   57.090      11414.000       106.8363
   57.190      11491.000       107.1961
   57.290      11752.000       108.4066
   57.390      11803.000       108.6416
   57.490      11854.000       108.8761
   57.590      11567.000       107.5500
   57.690      11323.000       106.4096
   57.790      11494.000       107.2101
   57.890      11243.000       106.0330
   57.990      11177.000       105.7213
   58.090      11387.000       106.7099
   58.190      11302.000       106.3109
   58.290      11526.000       107.3592
   58.390      11476.000       107.1261
   58.490      11686.000       108.1018
   58.590      11542.000       107.4337
   58.690      11420.000       106.8644
   58.790      11214.000       105.8962
   58.890      11356.000       106.5645
   58.990      11154.000       105.6125
   59.090      11080.000       105.2616
   59.190      11300.000       106.3015
   59.290      10970.000       104.7378
   59.390      11028.000       105.0143
   59.490      11202.000       105.8395
   59.590      11203.000       105.8442
   59.690      11126.000       105.4799
   59.790      11371.000       106.6349
   59.890      11195.000       105.8064
   59.990      11245.000       106.0424
   60.090      11169.000       105.6835
   60.190      11212.000       105.8867
   60.290      11259.000       106.1084
   60.390      11293.000       106.2685
   60.490      11319.000       106.3908
   60.590      11222.000       105.9339
   60.690      11089.000       105.3043
   60.790      11371.000       106.6349
   60.890      11270.000       106.1603
   60.990      11631.000       107.8471
   61.090      11761.000       108.4481
   61.190      11823.000       108.7336
   61.290      12267.000       110.7565
   61.390      13055.000       114.2585
   61.490      12991.000       113.9781
   61.590      13355.000       115.5638
   61.690      13411.000       115.8059
   61.790      13231.000       115.0261
   61.890      13080.000       114.3678
   61.990      12698.000       112.6854
   62.090      12519.000       111.8883
   62.190      12240.000       110.6345
   62.290      11831.000       108.7704
   62.390      11326.000       106.4237
   62.490      11517.000       107.3173
   62.590      11186.000       105.7639
   62.690      11153.000       105.6078
   62.790      11497.000       107.2241
   62.890      11118.000       105.4419
   62.990      11386.000       106.7052
   63.090      11095.000       105.3328
   63.190      11068.000       105.2046
   63.290      11254.000       106.0849
   63.390      11367.000       106.6161
   63.490      11259.000       106.1084
   63.590      11297.000       106.2873
   63.690      11304.000       106.3203
   63.790      11246.000       106.0472
   63.890      11620.000       107.7961
   63.990      11466.000       107.0794
   64.090      11658.000       107.9722
   64.190      12214.000       110.5170
   64.290      12443.000       111.5482
   64.390      13217.000       114.9652
   64.490      14676.000       121.1445
   64.590      16530.000       128.5690
   64.690      18981.000       137.7715
   64.790      21648.000       147.1326
   64.890      24166.000       155.4542
   64.990      27059.000       164.4962
   65.090      28421.000       168.5853
   65.190      28165.000       167.8243
   65.290      27444.000       165.6623
   65.390      24938.000       157.9177
   65.490      21833.000       147.7599
   65.590      19255.000       138.7624
   65.690      16410.000       128.1015
   65.790      14045.000       118.5116
   65.890      12688.000       112.6410
   65.990      12285.000       110.8377
   66.090      11896.000       109.0688
   66.190      11823.000       108.7336
   66.290      11638.000       107.8796
   66.390      11531.000       107.3825
   66.490      11535.000       107.4011
   66.590      11353.000       106.5505
   66.690      11392.000       106.7333
   66.790      11566.000       107.5453
   66.890      11839.000       108.8072
   66.990      11743.000       108.3651
   67.090      11724.000       108.2774
   67.190      12035.000       109.7041
   67.290      12829.000       113.2652
   67.390      14041.000       118.4947
   67.490      16989.000       130.3419
   67.590      21448.000       146.4514
   67.690      27955.000       167.1975
   67.790      35293.000       187.8643
   67.890      45150.000       212.4853
   67.990      58216.000       241.2799
   68.090      72633.000       269.5051
   68.190      82968.000       288.0417
   68.290      88524.000       297.5298
   68.390      93057.000       305.0525
   68.490      94790.000       307.8799
   68.590      92839.000       304.6949
   68.690      83273.000       288.5706
   68.790      70455.000       265.4336
   68.890      58876.000       242.6438
   68.990      47651.000       218.2911
   69.090      37949.000       194.8050
   69.190      27976.000       167.2603
   69.290      20757.000       144.0729
   69.390      16713.000       129.2788
   69.490      14621.000       120.9173
   69.590      13424.000       115.8620
   69.690      12487.000       111.7452
   69.790      12509.000       111.8436
   69.890      12066.000       109.8453
   69.990      11840.000       108.8118
   70.090      11789.000       108.5772
   70.190      11411.000       106.8223
   70.290      11518.000       107.3219
   70.390      11485.000       107.1681
   70.490      11336.000       106.4706
   70.590      11144.000       105.5651
   70.690      11231.000       105.9764
   70.790      11386.000       106.7052
   70.890      11459.000       107.0467
   70.990      11583.000       107.6243
   71.090      11782.000       108.5449
   71.190      11431.000       106.9159
   71.290      12145.000       110.2044
   71.390      12151.000       110.2316
   71.490      12179.000       110.3585
   71.590      12769.000       113.0000
   71.690      12695.000       112.6721
   71.790      13138.000       114.6211
   71.890      13188.000       114.8390
   71.990      13001.000       114.0219
   72.090      12919.000       113.6618
   72.190      12591.000       112.2096
